Data_dt,Data,Product,Sku,Sensation_Posizione,Sensation_Prezzo,Comp_rank_1,Comp_1_Prezzo,Comp_rank_2,Comp_3_prezzo,Comp_rank_4,Comp_4_prezzo,Comp_rank_5,Comp_5_prezzo
22/01/2026,22/01/2026,Collistar Impeccabile Fondotinta Lunga Tenuta 1N Avorio,140358,2,"€ 27,00",Bontempo Profumi,"€ 26,71",Sensation Profumerie,27,Top Farmacia,"27,65",Ditano,"29,25"
22/01/2026,22/01/2026,Collistar Lift HD+ Fondotinta Liftante Levigante 04 Naturale Rosa,147495,3,"€ 17,40",Bontempo Profumi,"€ 17,38",Sabbioni,"17,4",Sensation Profumerie,"17,4",Ideabellezza,"17,5"
22/01/2026,22/01/2026,Collistar Matita Kajal,152410,12,"€ 14,40",Bontempo Profumi,"€ 13,89",Bontempo Profumi,"14,18",Bontempo Profumi,"14,18",Marisa Profumerie,"14,3"
22/01/2026,22/01/2026,Collistar Rigenera Glow Trattamento Illuminante Anti-rughe 50ml,150973,6,"€ 45,00",Marconifarma,"€ 35,35",Bontempo Profumi,"43,81",Marisa Profumerie,"44,2",Ideabellezza,"44,7"
22/01/2026,22/01/2026,Collistar Solo Per I Tuoi Occhi Ombretto Stylo Lunghissima Tenuta 5 Bronzo,123023,4,"€ 13,80",Notino,"€ 13,40",Ideabellezza,"13,4",ProfumeriaWeb,"13,7",Sabbioni,"13,8"
22/01/2026,22/01/2026,Collistar Terra Abbronzante Effetto Seta 4.4 Hawaii Matte,135795,1,"€ 24,60",Sensation Profumerie,"€ 24,60",Marisa Profumerie,"24,7",Bontempo Profumi,"25,31",Greta Profumerie,"26,65"
22/01/2026,22/01/2026,Davidoff Cool Water Parfum 100ml,133187,5,"€ 49,90",Casa del Profumo,"€ 34,95",Bontempo Profumi,"42,81",Flaconi,"45,87",Parfumdreams,"45,87"
22/01/2026,22/01/2026,Diego dalla Palma 3 Rassoda Burro Mousse Anticellulite 200ml,145957,6,"€ 32,20",Pharmasi,"€ 29,98",Farmacia Soccavo,"30,23",Sabbioni,"30,82",PepinoShop,"30,82"
22/01/2026,22/01/2026,Diego dalla Palma Geisha Lift Correttore in Crema Effetto Lifting 122 Avorio Neutro,121881,7,"€ 19,25",Bontempo Profumi,"€ 15,94",Ideabellezza,"16,5",Antica farmacia Orlandi,"18,37",PepinoShop,"18,43"
22/01/2026,22/01/2026,Diego dalla Palma Lisciospaghetto Siero Rimpolpante 30ml,161009,9,"€ 14,00",PepinoShop,"€ 3,28",1000 Farmacie,"3,49",Marionnaud,"3,92",Pharmasi,"13,03"
22/01/2026,22/01/2026,Diego dalla Palma Makeupstudio Stay On Me Eye Liner Nero 31,121886,6,"€ 16,45",Bontempo Profumi,"€ 13,61",PepinoShop,"15,75",Antica farmacia Orlandi,"15,79",Farmacia Soccavo,"16,09"
22/01/2026,22/01/2026,Diego dalla Palma Matita labbra Temperabile 80 Rosa antico,102915,7,"€ 17,15",Bontempo Profumi,"€ 14,18",Antica farmacia Orlandi,"15,79",Ideabellezza,"16,4",PepinoShop,"16,42"
22/01/2026,22/01/2026,Diego dalla Palma Matita labbra Temperabile 91 Bordeaux,102926,9,"€ 17,15",Bontempo Profumi,"€ 14,18",Redcare,"15,79",Antica farmacia Orlandi,"15,79",Farmacia Soccavo,"16,09"
22/01/2026,22/01/2026,Diego dalla Palma Matita Sopracciglia Alta Precisone Lunga Tenuta 12,107158,8,"€ 17,15",Antica farmacia Orlandi,"€ 15,79",Ideabellezza,16,Farmacia Soccavo,"16,09",PepinoShop,"16,42"
22/01/2026,22/01/2026,Diego dalla Palma My Happy Toy Eyeliner 52 Nero,149974,6,"€ 18,83",Farmacia Soccavo,"€ 17,68",Agata profumerie,"17,9",Ideabellezza,"17,9",PepinoShop,"18,02"
22/01/2026,22/01/2026,Diego dalla Palma Nudissimo Glow Fondotinta Naturalmente Luminoso 254C Cammeo,129375,4,"€ 28,00",Bontempo Profumi,"€ 19,70",Ideabellezza,"24,4",PepinoShop,"26,8",eCharme,28
22/01/2026,22/01/2026,Diego dalla Palma Stay On Me Rossetto Liquido a Lunga Tenuta 39 Rosso ciliegia,145588,6,"€ 17,85",Bontempo Profumi,"€ 14,77",Farmacia Soccavo,"16,77",PepinoShop,"17,09",Sabbioni,"17,75"
22/01/2026,22/01/2026,Diego dalla Palma Taste My Lips Olio Gel Labbra 142,153372,8,"€ 16,73",Pharmasi,"€ 15,57",Farmacia Soccavo,"15,7",Ideabellezza,16,PepinoShop,"16,01"
22/01/2026,22/01/2026,Diego dalla Palma Terra Abbronzante Special Tanning Cake 99,102796,7,"€ 27,30",Bontempo Profumi,"€ 22,59",Antica farmacia Orlandi,"25,79",PepinoShop,"26,13",Ideabellezza,"26,8"
22/01/2026,22/01/2026,Diego dalla Palma Ultra Rich Sheer Lipstick 186 Toasted,150908,7,"€ 18,55",Bontempo Profumi,"€ 15,35",Pharmasi,"17,26",PepinoShop,"17,76",Redcare,"17,89"
22/01/2026,22/01/2026,Dior Addict Lip Glow Oil 001 Pink,128226,2,"€ 34,28",Sabbioni,"€ 34,27",Sensation Profumerie,"34,28",Profumeria Ideale,"39,13",Pinalli,"46,72"
22/01/2026,22/01/2026,Dior Addict Lip Glow Oil 004 Coral,128227,3,"€ 34,28",Greta Profumerie,"€ 33,35",Sabbioni,"34,27",Sensation Profumerie,"34,28",Ditano,"37,46"
22/01/2026,22/01/2026,Dior Addict Lip Glow Oil 007 Raspberry,128229,1,"€ 34,28",Sensation Profumerie,"€ 34,28",Profumeria Ideale,"37,14",Pinalli,"45,69",Pinalli,"46,72"
22/01/2026,22/01/2026,Dior Addict Lip Maximizer Gloss Rimpolpante 000 Universal Clear,137192,4,"€ 34,28",Ideabellezza,"€ 33,60",Greta Profumerie,"34,27",Sabbioni,"34,27",Sensation Profumerie,"34,28"
22/01/2026,22/01/2026,Dior Addict Lip Maximizer Gloss Rimpolpante 002 Opal,145225,4,"€ 34,28",Greta Profumerie,"€ 33,35",Ideabellezza,"33,6",Sabbioni,"34,27",Sensation Profumerie,"34,28"
22/01/2026,22/01/2026,Dior Addict Lip Maximizer Gloss Rimpolpante 012 Rosewood,145231,4,"€ 34,28",Greta Profumerie,"€ 33,35",Ideabellezza,"33,6",Sabbioni,"34,27",Sensation Profumerie,"34,28"
22/01/2026,22/01/2026,Dior Contour Matita Labbra 080 Red Smile,132410,1,"€ 23,33",Sensation Profumerie,"€ 23,33",Greta Profumerie,"23,36",Amoretti Profumi,"24,92",Profumeria Ideale,"27,8"
22/01/2026,22/01/2026,Dior Contour Matita Labbra 999 Rouge,152147,26,"€ 23,40",Greta Profumerie,"€ 22,75",Greta Profumerie,"23,37",Greta Profumerie,"23,37",Greta Profumerie,"23,37"
22/01/2026,22/01/2026,Dior Diorshow 5 Couleurs Palette Occhi 073 Pied-de-Poule,148764,1,"€ 53,70",Sensation Profumerie,"€ 53,70",Amoretti Profumi,"57,32",Ditano,"58,75",Profumeria Ideale,"59,47"
22/01/2026,22/01/2026,Dior Diorshow Crayon Sourcils Poudre Matita per Sopracciglia 02 Chesnut,149606,4,"€ 23,40",Sabbioni,"€ 23,36",Greta Profumerie,"23,37",Sensation Profumerie,"23,4",Ideabellezza,"23,4"
22/01/2026,22/01/2026,Dior Eau Sauvage Lozione Dopobarba 100ml,105334,1,"€ 56,85",Sabbioni,"€ 56,85",Sensation Profumerie,"56,85",Greta Profumerie,"56,85",Greta Profumerie,"58,37"
22/01/2026,22/01/2026,Dior Eau Sauvage Eau de Parfum 100ml,112917,1,"€ 95,90",Sensation Profumerie,"€ 95,90",Greta Profumerie,"98,68",Sabbioni,"102,79",Profumo Mania,109
22/01/2026,22/01/2026,Dior Forever Fondotinta Mat Clean 2CR Cool Rosy,137149,1,"€ 45,98",Sensation Profumerie,"€ 45,98",Amoretti Profumi,"49,01",Profumeria Ideale,"50,93",Marionnaud,"64,9"
22/01/2026,22/01/2026,Dior Forever Skin Correct Correttore 2.5N Neutral,145254,2,"€ 30,38",Sabbioni,"€ 30,37",Sensation Profumerie,"30,38",Amazon,"33,8",Profumeria Ideale,"34,77"
22/01/2026,22/01/2026,Dior Forever Skin Perfect Fondotinta in Stick Multiuso 0N Neutral,157078,3,"€ 44,40",Greta Profumerie,"€ 44,39",Sabbioni,"44,4",Sensation Profumerie,"44,4",Amoretti Profumi,"47,34"
22/01/2026,22/01/2026,Dior Homme Sport Eau de Toilette 125ml,137096,1,"€ 95,90",Sensation Profumerie,"€ 95,90",Casa del Profumo,"96,95",Greta Profumerie,"100,05",Sabbioni,"102,78"
22/01/2026,22/01/2026,Dior Hypnotic Poison Eau de Toilette 150ml,101870,2,"€ 124,25",Ideabellezza,"€ 122,90",Sensation Profumerie,"124,25",Greta Profumerie,"124,29",Casa del Profumo,"128,95"
22/01/2026,22/01/2026,Dior J'Adore Eau de Toilette 100ml,107488,1,"€ 104,65",Sensation Profumerie,"€ 104,65",Greta Profumerie,"107,65",Sabbioni,"112,12",Ditano,"116,62"
22/01/2026,22/01/2026,Dior J'Adore Hair Mist 40ml,129022,1,"€ 52,95",Sensation Profumerie,"€ 52,95",Ditano,"55,07",Amoretti Profumi,"56,48",Profumeria Ideale,"60,78"
22/01/2026,22/01/2026,Dior J'adore Les Adorables Corpo Latte 200ml,153418,1,"€ 53,70",Sensation Profumerie,"€ 53,70",Greta Profumerie,"53,74",Sabbioni,"53,77",Amoretti Profumi,"57,32"
